WR,Chris,Hogan,NE,Patriots,Wide Receiver
WR,Andre,Holmes,BUF,Bills,Wide Receiver
TE,Austin,Hooper,ATL,Falcons,Tight End
WR,DeAndre,Hopkins,HOU,Texans,Wide Receiver
K,Dustin,Hopkins,WAS,Redskins,Kicker
RB,Jordan,Howard,CHI,Bears,Running Back
TE,O.J.,Howard,TB,Buccaneers,Tight End
QB,Brian,Hoyer,SF,49ers,Quarterback
WR,Adam,Humphries,TB,Buccaneers,Wide Receiver
RB,Kareem,Hunt,KC,Chiefs,Running Back
WR,Allen,Hurns,JAC,Jaguars,Wide Receiver
RB,Carlos,Hyde,SF,49ers,Running Back
RB,Mark,Ingram,NO,Saints,Running Back
WR,Dontrelle,Inman,LAC,Chargers,Wide Receiver
RB,Chris,Ivory,JAC,Jaguars,Running Back
WR,DeSean,Jackson,TB,Buccaneers,Wide Receiver
TE,Jesse,James,PIT,Steelers,Tight End
K,Sebastian,Janikowski,OAK,Raiders,Kicker
WR,Alshon,Jeffery,PHI,Eagles,Wide Receiver
RB,David,Johnson,ARZ,Cardinals,Running Back
RB,Duke,Johnson,CLE,Browns,Running Back
RB,Aaron,Jones,GB,Packers,Running Back
WR,Julio,Jones,ATL,Falcons,Wide Receiver
WR,Marvin,Jones,DET,Lions,Wide Receiver
RB,Matt,Jones,WAS,Redskins,Running Back
WR,Zay,Jones,BUF,Bills,Wide Receiver
QB,Colin,Kaepernick,FA,Free Agent,Quarterback
RB,Alvin,Kamara,NO,Saints,Running Back
WR,Jermaine,Kearse,SEA,Seahawks,Wide Receiver
TE,Travis,Kelce,KC,Chiefs,Tight End
RB,Rob,Kelley,WAS,Redskins,Running Back
TE,Lance,Kendricks,GB,Packers,Tight End
WR,Jeremy,Kerley,SF,49ers,Wide Receiver
QB,Cody,Kessler,CLE,Browns,Quarterback
QB,DeShone,Kizer,CLE,Browns,Quarterback
WR,Cooper,Kupp,LAR,Rams,Wide Receiver
RB,Eddie,Lacy,SEA,Seahawks,Running Back
WR,Brandon,LaFell,CIN,Bengals,Wide Receiver
K,Josh,Lambo,LAC,Chargers,Kicker
WR,Jarvis,Landry,MIA,Dolphins,Wide Receiver
RB,Jeremy,Langford,CHI,Bears,Running Back
WR,Marqise,Lee,JAC,Jaguars,Wide Receiver
RB,Dion,Lewis,NE,Patriots,Running Back
WR,Tyler,Lockett,SEA,Seahawks,Wide Receiver
QB,Andrew,Luck,IND,Colts,Quarterback
K,Wil,Lutz,NO,Saints,Kicker
RB,Marshawn,Lynch,OAK,Raiders,Running Back
QB,Paxton,Lynch,DEN,Broncos,Quarterback
RB,Marlon,Mack,IND,Colts,Running Back
